item_name,item_category,cart_after_view_sessions,purchase_after_cart_sessions,cart_without_purchase_sessions,cart_to_purchase_rate_pct,cart_abandonment_rate_pct
Google NYC Campus Ladies Tee,Sale,171,11,160,6.43,93.57
Google Mountain View Campus Zip Hoodie,Home/Shop by Brand/Google/,165,7,158,4.24,95.76
Android Iconic Notebook,Home/Stationery/Notebooks/,161,5,156,3.11,96.89
Google Youth FC Zip Hoodie,Home/Apparel/Kids/,156,1,155,0.64,99.36
Google Jumbo Print Tee White,Men's / Unisex,152,0,152,0.0,100.0
Android Iconic Pen,Home/Shop by Brand/Android/,163,12,151,7.36,92.64
Google Mens Microfleece Jacket Black,Sale,153,3,150,1.96,98.04
Google Raincoat Navy,Men's / Unisex,155,11,144,7.1,92.9
Google Men's Discovery Lt. Rain Shell,Home/Sale/,140,0,140,0.0,100.0
Google Youth Jumbo Print Tee White,Home/Apparel/Kids/,138,0,138,0.0,100.0
Google Youth F/C Pullover Hoodie,Apparel,138,0,138,0.0,100.0
Android Pocket Youth Tee Navy,Home/Apparel/Kids/,141,6,135,4.26,95.74
Google Sunnyvale Campus Unisex Tee,Home/Shop by Brand/Google/,139,5,134,3.6,96.4
Android Lumberjack Pin,Home/Shop by Brand/Android/,152,19,133,12.5,87.5
Google Incognito Zip Pack,Bags,142,9,133,6.34,93.66
Google LA Campus Mug,Sale,161,32,129,19.88,80.12
Google Frisbee,Lifestyle/,140,12,128,8.57,91.43
Google SF Campus Zip Hoodie,,135,10,125,7.41,92.59
Google Austin Campus Zip Hoodie,Home/Sale/,134,11,123,8.21,91.79
Google Austin Campus Mug,Campus Collection,167,45,122,26.95,73.05
Google Campus Bike,Lifestyle,170,49,121,28.82,71.18
Google Chicago Campus Zip Hoodie,Home/Sale/,129,10,119,7.75,92.25
Google Women's Tech Fleece Grey,Women's,120,1,119,0.83,99.17
Google Seattle Campus Mug,Home/Sale/,162,44,118,27.16,72.84
Google Pen Neon Coral,Writing,133,16,117,12.03,87.97
Google PNW Campus Mug,Home/Campus Collection/,152,37,115,24.34,75.66
Google Sustainable Pencil Pouch,Eco-Friendly,128,13,115,10.16,89.84
Google Mural Notebook,Home/Stationery/Notebooks/,125,10,115,8.0,92.0
#IamRemarkable Lapel Pin,Lifestyle/Small Goods/,124,9,115,7.26,92.74
Google Pen Lilac,Writing,132,19,113,14.39,85.61
Google Utensil Set,Small Goods,125,12,113,9.6,90.4
Google 16 oz Tumbler Blue,Lifestyle/Drinkware/,118,5,113,4.24,95.76
Google SF Campus Unisex Tee,Campus Collection,115,3,112,2.61,97.39
Google Sunnyvale Campus Ladies Tee,Home/Campus Collection/,111,6,105,5.41,94.59
Google LA Campus Zip Hoodie,Home/Sale/,112,9,103,8.04,91.96
Google Mountain View Campus Ladies Tee,Home/Campus Collection/,109,6,103,5.5,94.5
Google Sunnyvale Campus Bottle,Home/Campus Collection/,107,4,103,3.74,96.26
Google Clear Framed Blue Shades,Small Goods,129,27,102,20.93,79.07
Google Clear Framed Gray Shades,Home/Shop by Brand/Google/,119,19,100,15.97,84.03
Google Sunnyvale Campus Tote,Home/Campus Collection/,101,2,99,1.98,98.02
Google SF Campus Bottle,Sale,117,19,98,16.24,83.76
Google Boulder Campus Zip Hoodie,Home/Sale/,107,9,98,8.41,91.59
Essential Canvas Tote,Bags,100,2,98,2.0,98.0
Google Chicago Campus Mug,Campus Collection,127,33,94,25.98,74.02
Google Keychain,Google,120,37,83,30.83,69.17
Google Boulder Campus Mug,,104,21,83,20.19,79.81
